Timestamp,Tiempo_Relativo_s,Estado_Sistema,Temp1_C,Temp2_C,Temp3_C,Caudal1_Lmin,Caudal2_Lmin,Volumen1_L,Volumen2_L,PWM1,PWM2,Duty1_%,Duty2_%,Modo1,Modo2,Error1,Error2
2025-12-08 16:59:24.444,3.010,DEENIDO,31.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2025-12-08 16:59:29.128,7.694,DETENI,--,32.5,13.0,3.424,0.0,--,--,--,180,--,70.6,--,MANUA=Or=================================,--,--
2025-12-08 16:59:36.936,15.502,DTEH	EMPERATURAS ---,31.5,32.5,13.5,3.424,--,0.73,--,200,--,78.4,--,jU HH 2,--,--,--
2025-12-08 16:59:38.489,17.054,--,--,32.5,--,--,0.0,--,0.0,200,--,78.4,--,"4 -1`BK 2",--,--,--
2025-12-08 16:59:40.088,18.654,DETENIDO,--,32.5,--,--,0.0,--,--,200,--,78.4,--,j9U)15Bomba 2,--,--,--
