Timestamp,Tiempo_Relativo_s,Estado_Sistema,Temp1_C,Temp2_C,Temp3_C,Caudal1_Lmin,Caudal2_Lmin,Volumen1_L,Volumen2_L,PWM1,PWM2,Duty1_%,Duty2_%,Modo1,Modo2,Error1,Error2
2025-12-08 21:24:34.701,1.485,DETENIDO,27.5,21.5,20.5,0.0,0.0,0.0,0.0,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-08 21:24:36.261,3.045,DETENIDO,27.5,21.5,20.5,0.0,0.0,0.0,0.0,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-08 21:24:37.821,4.605,DETENIDO,27.5,21.5,20.5,0.0,0.0,0.0,0.0,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-08 21:24:39.381,6.165,DETENIDO,27.5,21.5,20.5,0.0,0.0,0.0,0.0,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-08 21:24:40.941,7.726,DETENIDO,27.5,21.5,20.5,0.0,0.0,0.0,0.0,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-08 21:24:42.502,9.287,DETENIDO,27.0,21.5,20.5,0.0,0.0,0.0,0.0,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-08 21:24:44.158,10.943,DETENIDO,27.5,21.5,20.5,0.0,0.0,0.0,0.0,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-08 21:24:45.623,12.408,DETENIDO,27.5,21.5,20.5,0.0,0.0,0.0,0.0,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-08 21:24:47.184,13.969,DETENIDO,27.5,21.5,20.5,0.0,0.0,0.0,0.0,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-08 21:24:48.743,15.528,DETENIDO,27.5,21.5,20.5,0.0,0.0,0.0,0.0,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-08 21:24:50.306,17.090,DETENIDO,27.5,21.5,20.5,0.0,0.0,0.0,0.0,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-08 21:24:51.870,18.654,DETENIDO,27.5,21.5,20.5,0.0,0.0,0.0,0.0,200,180,78.4,70.6,AUTO,MANUAL,0.000,--
2025-12-08 21:24:53.435,20.220,DETENIDO,27.5,21.5,20.5,0.0,0.0,0.0,0.0,200,180,78.4,70.6,AUTO,MANUAL,0.000,--
2025-12-08 21:24:55.056,21.841,DETENIDO,27.5,21.5,20.5,0.0,0.0,0.0,0.0,200,180,78.4,70.6,AUTO,MANUAL,0.000,--
2025-12-08 21:24:56.565,23.350,DETENIDO,27.5,21.5,20.5,0.0,0.0,0.0,0.0,200,180,78.4,70.6,AUTO,MANUAL,0.000,--
2025-12-08 21:24:58.130,24.915,DETENIDO,27.5,21.5,20.5,0.0,0.0,0.0,0.0,200,180,78.4,70.6,AUTO,MANUAL,0.000,--
2025-12-08 21:24:59.809,26.593,DETENIDO,27.5,21.5,20.5,0.0,0.0,0.0,0.0,200,180,78.4,70.6,AUTO,MANUAL,0.000,--
2025-12-08 21:25:01.261,28.046,DETENIDO,27.5,21.5,20.5,0.0,0.0,0.0,0.0,200,180,78.4,70.6,AUTO,MANUAL,0.000,--
