Timestamp,Tiempo_Relativo_s,Estado_Sistema,Temp1_C,Temp2_C,Temp3_C,Caudal1_Lmin,Caudal2_Lmin,Volumen1_L,Volumen2_L,PWM1,PWM2,Duty1_%,Duty2_%,Modo1,Modo2,Error1,Error2
2025-12-05 17:29:38.120,1.485,DETENIDO,28.5,25.0,28.5,0.0,0.0,0.0,0.0,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 17:29:39.679,3.045,DETENIDO,28.5,25.5,28.5,0.0,0.0,0.0,0.0,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 17:29:41.238,4.604,DETENIDO,28.5,25.0,28.5,0.0,0.0,0.0,0.0,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 17:29:42.874,6.239,DETENIDO,28.5,25.5,28.5,0.0,0.0,0.0,0.0,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 17:29:44.360,7.726,DETENIDO,28.5,25.5,28.5,0.0,0.0,0.0,0.0,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 17:29:45.931,9.297,EN OPERACION,28.5,25.5,28.5,0.0,0.0,0.0,0.0,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 17:29:47.489,10.854,EN OPERACION,28.5,25.5,28.5,4.841,4.123,0.127,0.108,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 17:29:49.049,12.414,EN OPERACION,28.5,25.5,28.5,5.684,4.962,0.274,0.237,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 17:29:50.609,13.975,EN OPERACION,28.5,25.5,28.5,5.766,4.865,0.424,0.363,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 17:29:52.170,15.535,EN OPERACION,28.5,25.5,28.5,5.676,4.956,0.572,0.492,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 17:29:53.908,17.274,EN OPERACION,28.5,25.0,28.5,5.68,4.959,0.72,0.621,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 17:29:55.292,18.658,EN OPERACION,28.5,25.0,28.5,5.676,4.956,0.867,0.75,200,180,78.4,70.6,MANUAL,MANUAL,--,--
2025-12-05 17:29:56.858,20.223,EN OPERACION,28.5,25.5,28.5,5.77,4.869,1.017,0.877,36,180,14.1,70.6,AUTO,MANUAL,-5.670,--
